V3_gene	V4_gene	Sequence_change_or_not_in_two_versions	Method	Type
AC149829.2_FG002	Zm00001d048307	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC149829.2_FG003	Zm00001d048308	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC149829.2_FG004	Zm00001d048309	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC149829.2_FG006	Zm00001d048310	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC150739.3_FG001	Zm00001d048542	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC152495.1_FG003	Zm00001d023327	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC152495.1_FG010	Zm00001d023318	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC152495.1_FG011	10:2956018-2957384	No_sequence_change_in_v4	CrossMap	1-to-0
AC152495.1_FG012	Zm00001d023318	No_change_in_genomic_sequence	Direct_mapping	1-to-many
AC152495.1_FG013	10:2975274-2978323	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC152495.1_FG015	Zm00001d023319	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC152495.1_FG017	Zm00001d023320	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC155352.2_FG001	Zm00001d003216	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC155376.2_FG002	Zm00001d012157	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC155376.2_FG004	Zm00001d012158	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC155376.2_FG005	Zm00001d012159	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC155377.1_FG001	Zm00001d044303	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC155377.1_FG002	Zm00001d044304	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC155390.2_FG002	Zm00001d028388	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC155434.2_FG001	Zm00001d022529	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC155434.2_FG003	Zm00001d022528	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC155434.2_FG004	Zm00001d022527	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC155434.2_FG005	Zm00001d022526	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC155434.2_FG006	Zm00001d022525	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC155496.2_FG009	Zm00001d013116	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC155610.2_FG007	Zm00001d042723	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC155610.2_FG009	Zm00001d042725	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC155622.2_FG001	Zm00001d039411	No_change_in_genomic_sequence	Direct_mapping	1-to-many
AC155622.2_FG004	Zm00001d039411	No_change_in_genomic_sequence	Direct_mapping	1-to-many
AC155624.2_FG006	Zm00001d027570	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC155624.2_FG011	Zm00001d027573	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC159612.1_FG007	Zm00001d013097	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC165171.2_FG002	Zm00001d041958	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC165178.2_FG004	Zm00001d005760	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC166636.1_FG007	Zm00001d028011	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC166636.1_FG008	Zm00001d028012	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC166636.1_FG009	Zm00001d028013	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177831.3_FG004	Zm00001d003635	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177833.2_FG001	Zm00001d004454	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177837.3_FG002	Zm00001d028099	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177838.2_FG015	Zm00001d027243	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177844.2_FG003	2:69747724-69748032	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC177850.2_FG003	Zm00001d027964	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177850.2_FG005	Zm00001d027967	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC177860.4_FG002	Zm00001d005540	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177890.3_FG005	1:287814602-287815096	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC177893.3_FG003	Zm00001d006850	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177893.3_FG006	Zm00001d006849	No_change_in_genomic_sequence	Direct_mapping	1-to-1
AC177897.2_FG002	Zm00001d033503	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177897.2_FG022	Zm00001d018696	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC177897.2_FG029	Zm00001d020864	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC177899.2_FG009	Zm00001d034933	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177899.2_FG012	Zm00001d034930	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177900.4_FG001	1:93031746-93032108	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC177905.2_FG001	1:117305170-117305380	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC177905.2_FG003	Zm00001d030261	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177908.3_FG002	Zm00001d029516	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177908.3_FG003	Zm00001d029514	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177908.3_FG006	Zm00001d029513	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177911.4_FG005	1:17153927-17154490	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC177922.2_FG002	3:75070068-75070688	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC177924.2_FG001	Zm00001d003964	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177924.2_FG003	Zm00001d003966	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177926.2_FG003	Zm00001d034743	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177930.2_FG001	2:111557829-111558350	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC177930.2_FG002	2:111550566-111550997	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC177936.6_FG008	Zm00001d034361	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC177941.3_FG001	1:35742684-35745167	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC177941.3_FG006	Zm00001d028466	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC177946.2_FG004	1:19437487-19437963	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC177947.2_FG003	1:33684926-33685537	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC182105.3_FG006	Zm00001d050450	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC182413.4_FG002	Zm00001d013073	No_change_in_genomic_sequence	Direct_mapping	1-to-many
AC182439.4_FG004	Zm00001d040493	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC182482.3_FG003	Zm00001d040002	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC182615.4_FG001	3:21510630-21511490	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC182617.3_FG001	Zm00001d041575	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC182627.2_FG003	3:58306211-58306659	No_sequence_change_in_v4	CrossMap	1-to-0
AC182831.3_FG004	Zm00001d043343	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC182838.3_FG006	Zm00001d043255	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC183315.4_FG006	Zm00001d040107	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC183319.3_FG001	Zm00001d040304	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC183372.4_FG006	3:142204421-142205233	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC183412.5_FG005	2:28224732-28228323	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC183413.3_FG006	Zm00001d015738	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC183509.1_FG001	3:136259044-136260073	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC183514.3_FG006	Zm00001d042531	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC183817.2_FG002	Zm00001d015408	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC183888.4_FG006	Zm00001d054058	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC183888.4_FG008	Zm00001d054056	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC183914.3_FG004	4:181683851-181684348	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC183915.4_FG001	Zm00001d040645	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC183927.3_FG004	Zm00001d040770	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC183928.4_FG001	7:636109-638004	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC183932.3_FG007	Zm00001d013168	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC183938.4_FG011	10:143617457-143620553	No_sequence_change_in_v4	CrossMap	1-to-0
AC183944.4_FG003	Zm00001d046361	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC183950.2_FG002	Zm00001d012094	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC183950.2_FG003	Zm00001d012095	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC183950.2_FG004	Zm00001d012096	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC183950.2_FG005	Zm00001d012097	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC183968.2_FG001	Zm00001d054112	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC184112.4_FG010	Zm00001d042237	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC184116.3_FG001	Zm00001d019773	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC184127.3_FG003	5:184241697-184242191	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC184130.4_FG005	Zm00001d053755	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC184130.4_FG012	Zm00001d053751	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC184133.3_FG001	Zm00001d046036	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC184164.2_FG004	3:212903191-212903957	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC184164.2_FG006	Zm00001d043885	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC184169.3_FG001	Zm00001d049379	No_change_in_genomic_sequence	Direct_mapping	1-to-many
AC184170.4_FG002	3:134318249-134318896	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC184171.4_FG002	4:210870646-210871302	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC184172.3_FG001	Zm00001d051539	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC184699.3_FG005	3:224396633-224398934	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC184764.3_FG003	4:216303386-216304237	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC184764.3_FG006	Zm00001d053148	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC184765.4_FG005	Zm00001d044025	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC184771.4_FG003	Zm00001d050060	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC184775.2_FG002	Zm00001d042083	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC184788.2_FG001	5:156710251-156710989	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC184789.4_FG002	Zm00001d015928	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC184794.2_FG003	Zm00001d050456	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC184831.3_FG003	Zm00001d053938	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC184831.3_FG005	Zm00001d053940	No_change_in_genomic_sequence	Direct_mapping	1-to-many
AC184831.3_FG008	Zm00001d053940	No_change_in_genomic_sequence	Direct_mapping	1-to-many
AC184836.3_FG002	Zm00001d050351	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC184857.2_FG006	Zm00001d013633	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC184871.2_FG009	1:278508295-278509781	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC185108.3_FG006	Zm00001d021997	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185108.3_FG010	Zm00001d022001	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185108.3_FG011	Zm00001d022002	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185126.3_FG006	Zm00001d052501	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185130.2_FG004	Zm00001d015172	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185130.2_FG005	Zm00001d015171	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185217.3_FG004	Zm00001d052600	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185217.3_FG007	Zm00001d052603	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185226.4_FG001	Zm00001d051644	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC185252.4_FG002	3:113722128-113722791	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC185254.4_FG002	Zm00001d050259	No_change_in_genomic_sequence	Direct_mapping	1-to-many
AC185256.3_FG002	5:117367454-117368484	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC185256.3_FG003	Zm00001d015763	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC185261.4_FG002	5:62040482-62040946	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC185265.3_FG003	Zm00001d053314	No_change_in_genomic_sequence	Direct_mapping	1-to-many
AC185276.2_FG004	Zm00001d044583	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185276.2_FG006	Zm00001d044581	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC185281.5_FG006	Zm00001d015488	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185300.4_FG002	Zm00001d053522	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185305.3_FG003	Zm00001d049946	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185415.3_FG005	Zm00001d006307	No_change_in_genomic_sequence	Direct_mapping	1-to-many
AC185422.3_FG005	Zm00001d051305	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185427.5_FG004	Zm00001d016064	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185443.3_FG004	Zm00001d053314	No_change_in_genomic_sequence	Direct_mapping	1-to-many
AC185460.3_FG004	Zm00001d017189	No_change_in_genomic_sequence	Direct_mapping	1-to-1
AC185466.3_FG001	Zm00001d052245	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC185471.3_FG005	Zm00001d051789	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185473.3_FG005	Zm00001d051487	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC185475.3_FG001	4:171796140-171797878	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC185478.4_FG005	Zm00001d052238	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185478.4_FG007	4:184454932-184455426	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC185487.4_FG001	Zm00001d017589	No_change_in_genomic_sequence	Direct_mapping	1-to-1
AC185500.3_FG001	3:183797884-183798782	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC185501.3_FG001	Zm00001d052120	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185501.3_FG006	Zm00001d052131	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185504.4_FG002	4:166940600-166941154	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC185522.2_FG002	4:119134681-119135130	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC185530.2_FG004	Zm00001d050817	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185586.4_FG003	Zm00001d050366	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185587.3_FG003	Zm00001d031896	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185588.2_FG002	1:302676448-302680708	No_sequence_change_in_v4	CrossMap	1-to-0
AC185593.3_FG003	Zm00001d029802	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185605.3_FG003	5:45741061-45741513	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC185610.3_FG001	Zm00001d033243	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185611.3_FG001	Zm00001d032023	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185623.4_FG010	Zm00001d051515	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185623.4_FG012	Zm00001d051517	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185628.3_FG010	5:7470784-7472875	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC185642.4_FG001	4:167692114-167692440	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC185648.3_FG007	Zm00001d016762	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC185655.3_FG004	Zm00001d003341	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185655.3_FG005	Zm00001d003342	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185656.3_FG002	Zm00001d014905	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC185660.3_FG003	Zm00001d051712	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-many
AC186009.3_FG001	1:29972006-29972963	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC186013.3_FG001	Zm00001d019778	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186145.3_FG002	4:62043594-62044352	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC186147.3_FG008	Zm00001d051681	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186156.3_FG004	Zm00001d051985	No_change_in_genomic_sequence	Direct_mapping	1-to-1
AC186156.3_FG005	Zm00001d051983	No_change_in_genomic_sequence	Direct_mapping	1-to-1
AC186164.3_FG001	Zm00001d053443	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186166.3_FG008	Zm00001d012910	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186189.3_FG004	Zm00001d034287	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186189.3_FG005	Zm00001d034289	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186195.4_FG001	2:13379787-13381732	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC186231.4_FG002	Zm00001d031878	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186233.3_FG007	Zm00001d027657	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186283.4_FG002	Zm00001d030182	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186284.3_FG007	1:152646549-152648489	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC186287.7_FG005	Zm00001d052035	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186309.3_FG002	Zm00001d014288	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186309.3_FG006	5:39671671-39672366	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC186310.4_FG004	4:235637624-235639758	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC186322.4_FG003	Zm00001d032149	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186322.4_FG005	Zm00001d032151	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186329.3_FG006	Zm00001d003642	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186337.3_FG003	Zm00001d002892	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186375.3_FG001	Zm00001d037202	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186404.3_FG002	Zm00001d009563	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186406.4_FG006	Zm00001d035418	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186408.5_FG005	4:187692763-187693542	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC186412.4_FG011	Zm00001d033974	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186417.3_FG004	1:13270102-13271979	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC186417.3_FG006	1:13256591-13257244	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC186424.4_FG009	1:284784308-284784730	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC186433.4_FG001	6:89053098-89053709	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC186493.4_FG002	7:159564984-159566840	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC186500.3_FG001	5:125205729-125206418	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC186506.3_FG001	Zm00001d030816	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186512.3_FG007	4:165888059-165889101	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC186519.4_FG002	1:263305123-263305503	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC186524.3_FG005	Zm00001d031233	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186524.3_FG006	Zm00001d031234	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186563.4_FG004	4:179841158-179841439	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC186577.3_FG006	Zm00001d035020	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186579.3_FG007	Zm00001d011883	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186581.3_FG003	Zm00001d019558	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186583.3_FG004	Zm00001d035985	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186585.4_FG002	Zm00001d035425	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186590.3_FG005	Zm00001d036645	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186590.3_FG006	Zm00001d036644	No_change_in_genomic_sequence	Direct_mapping	1-to-1
AC186592.3_FG002	6:77792205-77794820	No_sequence_change_in_v4	CrossMap/Mummer	1-to-0
AC186592.3_FG003	Zm00001d036221	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186602.4_FG003	Zm00001d030047	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
AC186603.6_FG003	Zm00001d030976	No_change_in_genomic_sequence	Gene_Tree/Direct_mapping	1-to-1
